x,y
80.74065901,2.43961325
82.9856004,2.416120578
85.29471552,2.395566158
87.66966076,2.377952417
90.11212373,2.363291937
92.62382231,2.351607968
95.20650355,2.342935029
97.86194227,2.337319603
100.5919394,2.334820941
103.3983198,2.335511977
106.2829302,2.339480386
109.2476359,2.346829782
112.294318,2.357681095
115.4248687,2.372174136
118.6411877,2.390469373
121.945176,2.412749967
125.3387304,2.439224079
128.823736,2.4701275
132.4020581,2.505726651
136.0755328,2.546322001
139.8459559,2.592251963
143.7150702,2.643897341
147.6845512,2.70168642
151.7559902,2.766100773
155.9308747,2.837681915
160.210567,2.917038931
164.5962776,3.004857215
169.0890364,3.10190851
173.6896587,3.209062445
178.3987056,3.327299803
183.2164393,3.457727802
188.1427712,3.6015977
193.1772012,3.760325101
198.3187491,3.935513385
203.5658741,4.128980762
208.9163827,4.342791513
214.3673219,4.579292084
219.914856,4.84115277
225.5541245,5.131415839
231.2790774,5.45355105
237.0822867,5.811519625
242.9547277,6.209847825
248.8855289,6.653711377
254.8616835,7.149032046
260.8677211,7.702587615
266.8853319,8.322136473
272.8929413,9.016557727
278.8652301,9.79600732
284.7725978,10.67208987
290.5805688,11.65804476
296.2491447,12.76894316
301.7321094,14.02189024
306.9763036,15.43622299
311.9208935,17.03368918
316.4966732,18.8385865
320.6254584,20.87783215
324.2196541,23.18092279
327.182104,25.77973204
329.4063669,28.70807892
330.7775963,32.00098696
331.1742356,35.69354239
330.4707592,39.81925608
328.5416922,44.40784317
325.2670978,49.48236498
320.539624,55.05573935
314.2730213,61.12672538
306.4117794,67.67562945
296.9411837,74.660153
285.8967124,82.01198245
273.3713533,89.63486141
259.5192508,97.40492002
244.5542217,105.1739
228.7421992,112.7755656
212.3875874,120.0350527
195.8146553,126.7802777
179.3462022,132.853982
163.2824169,138.1247115
147.8828863,142.4951443
133.354039,145.9066837
119.8431391,148.3399723
107.4386582,149.8117376
96.17580305,150.3689368
86.04540922,150.0814166
77.00433628,149.0342542
68.98581092,147.3206834
61.90865212,145.0361676
55.6848174,142.2738561
50.2251176,139.1214101
45.44322086,135.6590342
41.25821238,131.9584742
37.59602507,128.0827359
34.39004425,124.0863
31.58114556,120.0156517
29.11737134,115.909985
26.95339781,111.8019827
25.04990076,107.7186053
23.37289145,103.6818452
21.89306813,99.70942518
20.58520946,95.81542654
19.42762318,92.01084553
18.40165505,88.30407927
17.49125761,84.70134591
16.68261559,81.20704514
15.96382273,77.82406585
15.32460478,74.55404735
14.75608274,71.39760064
14.25057121,68.35449506
13.80140681,65.4238156
13.40280239,62.60409517
13.04972317,59.89342557
12.73778151,57.2895506
12.46314735,54.78994396
12.22247214,52.39187434
12.01282391,50.09245973
11.83163191,47.88871269
11.67663941,45.77757787
11.54586315,43.75596311
11.43755872,41.82076514
11.35019077,39.96889061
11.28240741,38.19727334
11.23301816,36.50288828
11.20097486,34.88276267
11.18535525,33.33398501
11.18534869,31.85371199
11.20024376,30.43917383
11.22941752,29.08767822
11.27232613,27.79661315
11.32849668,26.56344874
11.39752003,25.38573827
11.47904462,24.26111859
11.57277094,23.18730989
11.67844679,22.16211511
11.79586301,21.18341889
11.92484987,20.2491863
12.06527371,19.35746124
12.21703416,18.50636471
12.38006158,17.69409292
12.55431487,16.91891526
12.73977946,16.17917219
12.93646567,15.47327312
13.14440712,14.7996942
13.36365945,14.15697609
13.59429912,13.54372179
13.83642243,12.9585944
14.09014458,12.40031498
14.35559891,11.86766034
14.63293624,11.35946101
14.92232429,10.8745991
15.22394715,10.41200629
15.53800491,9.97066189
15.86471329,9.549590893
16.20430332,9.147862109
16.55702116,8.764586369
16.92312789,8.398914772
17.30289941,8.050036988
17.69662631,7.717179628
18.10461386,7.399604669
18.52718199,7.096607928
18.96466532,6.807517605
19.41741322,6.531692871
19.88578989,6.268522518
20.37017452,6.017423653
20.87096138,5.777840455
21.38856004,5.549242975
21.92339556,5.331125984
22.47590868,5.123007877
23.04655611,4.924429612
23.63581077,4.734953703
24.24416207,4.554163252
24.87211624,4.381661026
25.52019667,4.217068566
26.18894419,4.060025347
26.87891752,3.910187968
27.59069358,3.76722938
28.32486797,3.630838147
29.0820553,3.500717745
29.86288969,3.376585891
30.66802523,3.258173902
31.49813641,3.145226087
32.35391862,3.037499163
33.23608867,2.934761705
34.14538533,2.83679362
35.08256982,2.743385645
